,乙二醇,乙腈,乙醇,戊二醛,正丙醇,正己烷,正戊醇,正硅酸四乙酯,正辛烷,环己烷,甲醇,"N,N-二甲基甲酰胺","N,N-二甲基苯胺",正庚醇
乙二醇,1,0,0,0,0,0,0,0,0,0,0,0,0,0
乙腈,0,1,0,0,0,0,0,0,0,0,0,0,0,0
乙醇,0,0,1,0,0,0,0,0,0,0,0,0,0,0
戊二醛,0,0,0,1,0,0,0,0,0,0,0,0,0,0
正丙醇,0,0,0,0,1,0,0,0,0,0,0,0,0,0
正己烷,0,0,0,0,0,1,0,0,0,0,0,0,0,0
正戊醇,0,0,0,0,0,0,1,0,0,0,0,0,0,0
正硅酸四乙酯,0,0,0,0,0,0,0,1,0,0,0,0,0,0
正辛烷,0,0,0,0,0,0,0,0,1,0,0,0,0,0
环己烷,0,0,0,0,0,0,0,0,0,1,0,0,0,0
甲醇,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"N,N-二甲基甲酰胺",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"N,N-二甲基苯胺",0,0,0,0,0,0,0,0,0,0,0,0,1,0
正庚醇,0,0,0,0,0,0,0,0,0,0,0,0,0,1
